B_T,Delta_inter_min_MHz
0.9870000000000001,1.42265845512879
0.988,1.4274558975539886
0.9890000000000001,1.432253339979189
0.99,1.4370507824043877
0.9910000000000001,1.441848224829588
0.992,1.4466456672547867
0.9930000000000001,1.4514431096799862
0.994,1.4562405521051858
0.9950000000000001,1.4610379945303853
0.996,1.465835436955584
0.9970000000000001,1.4706328793807844
0.998,1.475430321805983
0.9990000000000001,1.4802277642311834
1.0,1.485025206656382
1.0010000000000001,1.4898226490815816
1.002,1.494620091506781
1.0030000000000001,1.4994175339319806
1.004,1.5042149763571802
1.0050000000000001,1.5090124187823797
1.006,1.5138098612075783
1.0070000000000001,1.5186073036327787
1.008,1.5234047460579774
1.0090000000000001,1.5282021884831778
1.01,1.5329996309083764
1.0110000000000001,1.537797073333576
1.012,1.5425945157587755
1.0130000000000001,1.547391958183975
1.014,1.5521894006091745
1.0150000000000001,1.556986843034374
1.016,1.5617842854595727
1.0170000000000001,1.5665817278847731
1.018,1.5713791703099718
1.0190000000000001,1.5761766127351722
1.02,1.5809740551603708
1.0210000000000001,1.5857714975855703
1.022,1.5905689400107699
1.0230000000000001,1.5953663824359694
1.024,1.600163824861168
1.0250000000000001,1.6049612672863685
1.026,1.609758709711567
1.0270000000000001,1.6145561521367675
1.028,1.6193535945619661
1.0290000000000001,1.6241510369871666
1.03,1.6289484794123652
1.0310000000000001,1.6337459218375647
1.032,1.6385433642627643
1.033,1.643340806687963
1.034,1.6481382491131624
1.035,1.652935691538362
1.036,1.6546840845794852
1.037,1.6498866421542866
1.038,1.6450891997290862
1.039,1.6402917573038875
1.04,1.6354943148786871
1.041,1.6306968724534885
1.042,1.625899430028288
1.043,1.6211019876030894
1.044,1.61630454517789
1.045,1.6115071027526904
1.046,1.6067096603274909
1.047,1.6019122179022922
1.048,1.5971147754770918
1.049,1.5923173330518932
1.05,1.5875198906266927
1.051,1.582722448201494
1.052,1.5779250057762946
1.053,1.573127563351095
1.054,1.5683301209258955
1.055,1.563532678500696
1.056,1.5587352360754965
1.057,1.5539377936502978
1.058,1.5491403512250974
1.059,1.5443429087998988
1.06,1.5395454663746984
1.061,1.5347480239494997
1.062,1.5299505815243002
1.063,1.5251531390991007
1.064,1.5203556966739011
1.065,1.5155582542487025
1.066,1.510760811823502
1.067,1.5059633693983034
1.068,1.501165926973103
1.069,1.4963684845479044
1.07,1.491571042122704
1.071,1.4867735996975053
1.072,1.4819761572723058
1.073,1.4771787148471063
1.074,1.4723812724219068
1.075,1.4675838299967081
1.076,1.4627863875715077
1.077,1.457988945146309
1.078,1.4531915027211086
1.079,1.44839406029591
1.08,1.4435966178707096
1.081,1.438799175445511
1.082,1.4340017330203114
1.083,1.429204290595112
1.084,1.4244068481699124
1.085,1.4196094057447137
1.086,1.4148119633195133
1.087,1.4100145208943147
1.088,1.4052170784691143
1.089,1.4004196360439156
1.09,1.395622193618716
1.091,1.3908247511935166
1.092,1.386027308768317
1.093,1.3812298663431175
1.094,1.376432423917918
1.095,1.3716349814927193
1.096,1.366837539067519
1.097,1.3620400966423203
1.098,1.3572426542171199
1.099,1.3524452117919212
1.1,1.3476477693667217
1.101,1.3428503269415222
1.102,1.3380528845163226
1.103,1.333255442091124
1.104,1.3284579996659236
1.105,1.323660557240725
1.106,1.3188631148155245
1.107,1.314065672390326
1.108,1.3092682299651255
1.109,1.3044707875399268
1.11,1.2996733451147273
1.111,1.2948759026895278
1.112,1.2900784602643283
1.113,1.2852810178391296
1.114,1.2804835754139292
1.115,1.2756861329887306
