label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
3MHz_ceiling_target,84.0,0.8100000000000002,2.1140681074167134
3MHz_ceiling_target,84.0,0.8120000000000002,2.1044732138547793
3MHz_ceiling_target,84.0,0.8140000000000002,2.094878320292845
3MHz_ceiling_target,84.0,0.8160000000000002,2.085283426730911
3MHz_ceiling_target,84.0,0.8180000000000002,2.075688533168977
3MHz_ceiling_target,84.0,0.8200000000000002,2.066093639607043
3MHz_ceiling_target,84.0,0.8220000000000002,2.0564987460451087
3MHz_ceiling_target,84.0,0.8240000000000002,2.0469038524831746
3MHz_ceiling_target,84.0,0.8260000000000002,2.037308958921241
3MHz_ceiling_target,84.0,0.8280000000000002,2.027714065359307
3MHz_ceiling_target,84.0,0.8300000000000002,2.0181191717973728
3MHz_ceiling_target,84.0,0.8320000000000002,2.0085242782354387
3MHz_ceiling_target,84.0,0.8340000000000002,1.998929384673505
3MHz_ceiling_target,84.0,0.8360000000000002,1.9893344911115705
3MHz_ceiling_target,84.0,0.8380000000000002,1.9797395975496368
3MHz_ceiling_target,84.0,0.8400000000000002,1.9701447039877023
3MHz_ceiling_target,84.0,0.8420000000000002,1.9605498104257686
3MHz_ceiling_target,84.0,0.8440000000000002,1.950954916863834
3MHz_ceiling_target,84.0,0.8460000000000002,1.9413600233019004
3MHz_ceiling_target,84.0,0.8480000000000002,1.9317651297399658
3MHz_ceiling_target,84.0,0.8500000000000002,1.9221702361780322
3MHz_ceiling_target,84.0,0.8520000000000002,1.9125753426160985
3MHz_ceiling_target,84.0,0.8540000000000002,1.902980449054164
3MHz_ceiling_target,84.0,0.8560000000000002,1.8933855554922303
3MHz_ceiling_target,84.0,0.8580000000000002,1.8837906619302958
3MHz_ceiling_target,84.0,0.8600000000000002,1.874195768368362
3MHz_ceiling_target,84.0,0.8620000000000002,1.8646008748064276
3MHz_ceiling_target,84.0,0.8640000000000002,1.855005981244494
3MHz_ceiling_target,84.0,0.8660000000000002,1.8454110876825602
3MHz_ceiling_target,84.0,0.8680000000000002,1.8358161941206257
3MHz_ceiling_target,84.0,0.8700000000000002,1.826221300558692
3MHz_ceiling_target,84.0,0.8720000000000002,1.8166264069967575
3MHz_ceiling_target,84.0,0.8740000000000002,1.8070315134348238
3MHz_ceiling_target,84.0,0.8760000000000002,1.7974366198728893
3MHz_ceiling_target,84.0,0.8780000000000002,1.7878417263109556
3MHz_ceiling_target,84.0,0.8800000000000002,1.778246832749021
3MHz_ceiling_target,84.0,0.8820000000000002,1.7686519391870874
3MHz_ceiling_target,84.0,0.8840000000000002,1.7590570456251537
